RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
346.3878,11.3396,0.2623,13.37899971,13.12300014,0.255999565,-27.30943213,1.65872E+12,2.50919E+11,11.39953355,Elliptical
150.5626,33.6526,0.3968,14.10700035,13.88500023,0.222000122,-27.62263251,2.21336E+12,4.08482E+11,11.61117292,Giant Elliptical / BCG
248.5155,25.293,0.2698,14.78800011,14.3920002,0.395999908,-25.97025744,4.83173E+11,32230215506,10.50826321,Elliptical
6.9212,19.4296,0.4053,14.66800022,14.52000046,0.147999763,-27.11586126,1.38786E+12,3.94844E+11,11.59642554,Giant Elliptical / BCG
179.3222,33.6109,0.214,15.54899979,15.13899994,0.409999847,-24.6399671,1.41901E+11,8721420488,9.940587226,Spiral
202.6228,49.1466,0.3306,14.16600037,13.9119997,0.254000664,-27.10030388,1.36811E+12,2.09392E+11,11.32096009,Elliptical
188.5673,15.2523,0.2831,14.26500034,13.99499989,0.270000458,-26.61280281,8.73215E+11,1.21708E+11,11.08531913,Elliptical
223.8555,36.048,0.3655,14.42300034,14.18999958,0.233000755,-27.09723852,1.36425E+12,2.36088E+11,11.37307391,Elliptical
128.0364,4.3217,0.2021,15.75199986,15.43200016,0.319999695,-24.29796849,1.03559E+11,10774277820,10.03238817,Spiral
350.5615,28.5209,0.3973,15.11600018,14.86900043,0.246999741,-26.61685218,8.76478E+11,1.39753E+11,11.14536114,Elliptical
44.1285,0.1009,0.3607,14.34799957,14.08600044,0.26199913,-27.13867444,1.41733E+12,2.0701E+11,11.31599133,Elliptical
225.6252,19.5824,0.3434,14.60499954,14.35599995,0.248999596,-26.75718619,9.97412E+11,1.57187E+11,11.19641663,Elliptical
173.8941,21.0481,0.1653,13.46800041,13.28199959,0.186000824,-26.09830332,5.43652E+11,1.23845E+11,11.09287848,Elliptical
260.6132,32.1326,0.2253,14.03600025,13.72399998,0.312000275,-26.27850219,6.41802E+11,69971338057,10.84492018,Elliptical
350.7013,5.8024,0.2245,13.6619997,13.36299992,0.298999786,-26.64380853,8.98511E+11,1.05697E+11,11.02406266,Elliptical
172.5044,33.0335,0.2222,13.89299965,13.6260004,0.266999245,-26.38765262,7.09678E+11,1.00666E+11,11.00288281,Elliptical
178.0529,60.5444,0.3696,14.59000015,14.41800022,0.171999931,-26.95858842,1.2007E+12,2.96863E+11,11.47255607,Elliptical
134.0529,37.9377,0.4085,14.55500031,14.42199993,0.133000374,-27.24900463,1.56892E+12,4.87283E+11,11.68778126,Giant Elliptical / BCG
223.3268,41.4719,0.336,14.29100037,14.07499981,0.216000557,-27.01616352,1.26609E+12,2.42005E+11,11.38382434,Elliptical
226.7288,34.5517,0.3617,13.9090004,13.70899963,0.200000763,-27.5847001,2.13737E+12,4.48619E+11,11.65187766,Giant Elliptical / BCG
22.2528,-8.7556,0.3591,14.16600037,13.92199993,0.244000435,-27.30939384,1.65866E+12,2.69151E+11,11.429996,Elliptical
158.2101,13.8785,0.3179,14.68900013,14.45899963,0.230000496,-26.47873345,7.7178E+11,1.35923E+11,11.13329295,Elliptical
216.8433,20.1152,0.3251,15.36699963,15.01200008,0.354999542,-25.85705196,4.35332E+11,36908121861,10.56712195,Elliptical
139.0376,-0.374,0.3233,14.30500031,14.0369997,0.268000603,-26.90508019,1.14296E+12,1.6118E+11,11.20731115,Elliptical
143.942,8.1269,0.3773,14.93500042,14.78899956,0.146000862,-26.6660553,9.17111E+11,2.63985E+11,11.42157925,Elliptical
178.825,23.4049,0.1386,14.18099976,13.92300034,0.25799942,-24.96697767,1.91775E+11,28672960821,10.45747254,Spiral
227.7338,5.7448,0.0794,11.44299984,11.47200012,-0.029000282,-26.41097016,7.25084E+11,5.8083E+11,11.76404904,Giant Elliptical / BCG
161.3663,38.3501,0.3252,14.47099972,14.00199986,0.468999863,-26.75382595,9.9433E+11,43278353356,10.63627073,Elliptical
145.2562,12.5896,0.1797,14.78800011,14.54300022,0.244999886,-24.97843291,1.93809E+11,31266081350,10.49507345,Spiral
